Table S2. Results of qPCR and sequencing analysis,,,,,,,,,,,,,,,,,,
VSP,WFID, Lab ID #,County Location,Region,Cause of death,Date of collection,Sample type,Gender,Age,Species,N1 Ct,N2 Ct,Xeno Ct,Variant,Lineage,Whole Genome Sequenced?,Nested PCR Sequenced?,GenBank
,WF21-0002339,40,Wayne,NER,Hunter Harvested,11/6/2021,PBS Swab 2339,M,Adult,WTD,Undetermined,Undetermined,33.07,,,,,
,WF21-0005169,41,Delaware,SER,Hunter Harvested,12/9/2021,PBS Swab 5169,F,Adult,WTD,Undetermined,Undetermined,33.60,,,,,
,WF21-0005175,42,Bucks,SER,Hunter Harvested,12/4/2021,PBS Swab 5175,M,Adult,WTD,Undetermined,Undetermined,33.62,,,,,
,WF21-0005176,43,Bucks,SER,Hunter Harvested,12/1/2021,PBS Swab 5176,M,Fawn,WTD,Undetermined,Undetermined,32.25,,,,,
,WF21-0005177,44,Bucks,SER,Hunter Harvested,12/2/2021,PBS Swab 5177,M,Fawn,WTD,Undetermined,Undetermined,31.96,,,,,
,WF21-0005178,45,Bucks,SER,Hunter Harvested,12/3/2021,PBS Swab 5178,M,Fawn,WTD,Undetermined,Undetermined,31.78,,,,,
,WF21-0005179,46,Bucks,SER,Hunter Harvested,12/5/2021,PBS Swab 5179,M,Fawn,WTD,Undetermined,Undetermined,32.23,,,,,
,WF21-0005180,47,Bucks,SER,Hunter Harvested,12/6/2021,PBS Swab 5180,M,Yearling,WTD,Undetermined,Undetermined,32.12,,,,,
,WF21-0005174,48,Delaware,SER,Hunter Harvested,12/9/2021,PBS Swab 5174,M,Yearling,WTD,Undetermined,Undetermined,32.08,,,,,
,WF21-0005170,49,Delaware,SER,Hunter Harvested,12/9/2021,PBS Swab 5170,F,Adult,WTD,Undetermined,Undetermined,31.90,,,,,
,WF21-0005171,50,Delaware,SER,Hunter Harvested,12/9/2021,PBS Swab 5171,F,Adult,WTD,Undetermined,Undetermined,32.91,,,,,
,WF21-0005173,51,Delaware,SER,Hunter Harvested,12/9/2021,PBS Swab 5173,M,Adult,WTD,Undetermined,Undetermined,32.79,,,,,
VSP3612,WF21-0005172,52,Delaware,SER,Hunter Harvested,12/9/2021,PBS Swab 5172,F,Fawn,WTD,35.60,36.83,32.78,Delta,,,Yes,ON350845
,WF21-0006063,53,Jefferson,NWR,Hunter Harvested,12/2/2021,PBS Swab 6063,M,Yearling,WTD,Undetermined,Undetermined,33.22,,,,,
,WF21-0006144,54,Lebanon,SER,Hunter Harvested,12/15/2021,PBS Swab 6144,M,Adult,WTD,Undetermined,Undetermined,33.19,,,,,
,WF21-0006025,55,Jefferson,NWR,Unknown,12/2/2021,PBS Swab 6025,F,Fawn,WTD,Undetermined,Undetermined,32.71,,,,,
,WF21-0006023,56,Venango,NWR,Hunter Harvested,12/9/2021,PBS Swab 6023,F,Adult,WTD,Undetermined,Undetermined,32.64,,,,,
,WF21-0006024,57,Venango,NWR,Hunter Harvested,12/8/2021,PBS Swab 6024,F,Yearling,WTD,Undetermined,Undetermined,32.33,,,,,
,WF21-0006022,58,Clearfield,NCR,Hunter Harvested,12/2/2021,PBS Swab 6022,F,Adult,WTD,Undetermined,Undetermined,33.49,,,,,
,WF21-0006204,59,Bedford,SCR,Hunter Harvested,12/9/2021,PBS Swab 6204,F,Adult,WTD,Undetermined,Undetermined,32.88,,,,,
,WF21-0005181,60,Lycoming,NCR,Hunter Harvested,12/13/2021,PBS Swab 5181,F,Adult,WTD,Undetermined,Undetermined,34.05,,,,,
,WF21-0006203,61,Lancaster,SER,Hunter Harvested,12/3/2021,PBS Swab 6203,M,Adult,WTD,Undetermined,Undetermined,34.15,,,,,
,WF21-0006145,62,Lancaster,SER,Hunter Harvested,12/15/2021,PBS Swab 6145,F,Adult,WTD,Undetermined,Undetermined,33.03,,,,,
,WF21-0006198,63,Blair,SCR,Unknown,11/30/2021,PBS Swab 6198,M,Adult,WTD,Undetermined,Undetermined,33.19,,,,,
,WF21-0006199,64,Blair,SCR,Unknown,11/30/2021,PBS Swab 6199,F,Adult,WTD,Undetermined,Undetermined,31.63,,,,,
,WF21-0006202,65,Bedford,SCR,Hunter Harvested,12/2/2021,PBS Swab 6202,F,Adult,WTD,Undetermined,Undetermined,33.01,,,,,
,WF21-0006205,66,Huntingdon,SCR,Hunter Harvested,12/1/2021,PBS Swab 6205,M,Yearling,WTD,Undetermined,Undetermined,31.90,,,,,
,WF21-0006206,67,Mifflin,SCR,Hunter Harvested,12/3/2021,PBS Swab 6206,F,Yearling,WTD,Undetermined,Undetermined,31.75,,,,,
,WF21-0006207,68,Juniata,SCR,Unknown,11/19/2021,PBS Swab 6207,F,Adult,WTD,Undetermined,Undetermined,31.76,,,,,
VSP3613,WF21-0006209,69,York,SCR,Road Kill,11/19/2021,PBS Swab 6209,F,Adult,WTD,38.39,41.05,32.70,,,,,
VSP3614,WF21-0006210,70,Huntingdon,SCR,Hunter Harvested,11/29/2021,PBS Swab 6210,M,Yearling,WTD,34.19,35.14,32.05,Delta,,,Yes,ON350846
,WF21-0006212,71,York,SCR,Unknown,11/19/2021,PBS Swab 6212,M,Adult,WTD,Undetermined,Undetermined,32.34,,,,,
,WF21-0006213,72,York,SCR,Unknown,11/16/2021,PBS Swab 6213,M,Adult,WTD,Undetermined,Undetermined,32.47,,,,,
,WF21-0006216,73,Bedford,SCR,Hunter Harvested,11/29/2021,PBS Swab 6216,F,Adult,WTD,Undetermined,Undetermined,32.48,,,,,
,WF21-0006214,74,Huntingdon,SCR,Hunter Harvested,11/30/2021,PBS Swab 6214,M,Adult,WTD,Undetermined,Undetermined,32.48,,,,,
,WF21-0006211,75,Huntingdon,SCR,Hunter Harvested,11/28/2021,PBS Swab 6211,F,Yearling,WTD,Undetermined,Undetermined,32.47,,,,,
,WF21-0006208,76,Huntingdon,SCR,Hunter Harvested,11/27/2021,PBS Swab 6208,M,Adult,WTD,Undetermined,Undetermined,32.43,,,,,
,WF21-0006215,77,Mifflin,SCR,Hunter Harvested,11/30/2021,PBS Swab 6215,M,Adult,WTD,Undetermined,Undetermined,32.73,,,,,
,WF22-0000064,78,Sullivan,NER,Hunter Harvested,12/4/2021,PBS Swab 0064,M,Adult,WTD,Undetermined,Undetermined,32.31,,,,,
,WF22-0000065,79,Luzerne,NER,Road Kill,12/27/2021,PBS Swab 0065,M,Yearling,WTD,Undetermined,Undetermined,32.65,,,,,
,WF22-0000066,80,Wayne,NER,Hunter Harvested,11/28/2021,PBS Swab 0066,M,Adult,WTD,Undetermined,Undetermined,32.30,,,,,
,WF22-0000067,81,Sullivan,NER,Hunter Harvested,12/7/2021,PBS Swab 0067,M,Adult,WTD,Undetermined,Undetermined,32.37,,,,,
,WF22-0000068,82,Columbia,NER,Hunter Harvested,12/3/2021,PBS Swab 0068,M,Adult,WTD,Undetermined,Undetermined,32.39,,,,,
,WF21-0004266,83,Luzerne,NER,Unknown,12/3/2021,PBS Swab 4266,F,Adult,WTD,Undetermined,Undetermined,32.95,,,,,
,WF22-0000070,84,Luzerne,NER,Unknown,12/3/2021,PBS Swab 0070,M,Adult,WTD,Undetermined,Undetermined,33.99,,,,,
,WF22-0000071,85,Bradford,NER,Hunter Harvested,12/3/2021,PBS Swab 0071,F,Adult,WTD,Undetermined,Undetermined,33.08,,,,,
,WF22-0000072,86,Pike,NER,Hunter Harvested,11/27/2021,PBS Swab 0072,F,Adult,WTD,Undetermined,Undetermined,33.22,,,,,
VSP3573,WF22-0000073,87,Wayne,NER,Hunter Harvested,11/27/2021,PBS Swab 0073,M,Adult,WTD,24.42,26.96,32.89,Delta,AY.88,Yes,,OM570191
VSP3615,WF22-0000074,88,Wayne,NER,Hunter Harvested,11/27/2021,PBS Swab 0074,M,Adult,WTD,36.98,37.94,32.94,Delta,,,Yes,ON350847
VSP3616,WF22-0000075,89,Pike,NER,Hunter Harvested,11/29/2021,PBS Swab 0075,M,Adult,WTD,35.56,39.41,33.31,,,,,
,WF22-0000076,90,Centre,NCR,Hunter Harvested,11/29/2021,PBS Swab 0076,M,Adult,WTD,Undetermined,Undetermined,33.44,,,,,
VSP3574,WF22-0000077,91,Monroe,NER,Hunter Harvested,11/27/2021,PBS Swab 0077,M,Adult,WTD,17.14,19.18,33.51,Alpha,B.1.1.7,Yes,,OM570192
,WF22-0000078,92,Monroe,NER,Hunter Harvested,11/27/2021,PBS Swab 0078,M,Adult,WTD,Undetermined,Undetermined,32.93,,,,,
VSP3575,WF22-0000079,93,Monroe,NER,Hunter Harvested,11/28/2021,PBS Swab 0079,M,Adult,WTD,21.69,23.89,33.20,Delta,AY.88,Yes,,OM570193
,WF22-0000241,94,Bedford,SCR,Unknown,1/5/2022,PBS Swab 241,F,Adult,WTD,Undetermined,Undetermined,32.94,,,,,
,WF22-0000375,95,Perry,SCR,Hunter Harvested,Unknown,PBS Swab 375,M,Fawn,WTD,Undetermined,Undetermined,33.96,,,,,
,WF22-0000376,96,Philadelphia,SER,Hunter Harvested,1/20/2022,PBS Swab 376,M,Adult,WTD,Undetermined,Undetermined,33.18,,,,,
,WF22-0000377,97,Philadelphia,SER,Hunter Harvested,1/20/2022,PBS Swab 377,M,Adult,WTD,Undetermined,Undetermined,33.90,,,,,
,WF22-0000378,98,Philadelphia,SER,Hunter Harvested,1/20/2022,PBS Swab 378,M,Fawn,WTD,Undetermined,Undetermined,33.26,,,,,
,WF22-0000379,99,Philadelphia,SER,Hunter Harvested,1/20/2022,PBS Swab 379,M,Fawn,WTD,Undetermined,Undetermined,33.21,,,,,
,WF22-0000380,100,Philadelphia,SER,Hunter Harvested,1/20/2022,PBS Swab 380,M,Fawn,WTD,Undetermined,Undetermined,33.25,,,,,
,WF22-0000381,101,Philadelphia,SER,Hunter Harvested,1/20/2022,PBS Swab 381,M,Adult,WTD,Undetermined,Undetermined,32.44,,,,,
,WF22-0000382,102,Philadelphia,SER,Hunter Harvested,1/20/2022,PBS Swab 382,M,Adult,WTD,Undetermined,Undetermined,32.85,,,,,
,WF21-0002332,103,Venango,NWR,Road Kill,11/19/2021,PBS Swab 2332,M,Fawn,WTD,Undetermined,Undetermined,33.54,,,,,
,WF22-0000453,104,Armstrong,SWR,Road Kill,10/15/2021,PBS Swab 453,F,Adult,WTD,Undetermined,Undetermined,33.34,,,,,
